{'market_cap': 1970604000000, 'name': 'KODEX 레버리지', 'date': '20180130', 'industry': 'ETF', 'price': '19095', 'pbr': 0, 'eps': 0, 'market_type': 'KOSPI', 'bps': 0, 'industry_per': 0, 'code': '122630', 'per': 0, 'foreign_ratio': 0, 'face_val': 0, 'foreign_limit': 0, 'foreign_possession': 0, 'yield_ret': 0}
{'market_cap': 300768000000, 'name': 'TIGER 차이나CSI300', 'date': '20180130', 'industry': 'ETF', 'price': '9640', 'pbr': 0, 'eps': 0, 'market_type': 'KOSPI', 'bps': 0, 'industry_per': 0, 'code': '192090', 'per': 0, 'foreign_ratio': 0, 'face_val': 0, 'foreign_limit': 0, 'foreign_possession': 0, 'yield_ret': 0}
{'market_cap': 839545000000, 'name': 'KODEX MSCI Korea TR', 'date': '20180130', 'industry': 'ETF', 'price': '10115', 'pbr': 0, 'eps': 0, 'market_type': 'KOSPI', 'bps': 0, 'industry_per': 0, 'code': '278540', 'per': 0, 'foreign_ratio': 0, 'face_val': 0, 'foreign_limit': 0, 'foreign_possession': 0, 'yield_ret': 0}
{'market_cap': 178912138125, 'name': '대우부품', 'date': '20180130', 'industry': '운수장비', 'price': '3755', 'pbr': 5.05, 'eps': '54', 'market_type': 'KOSPI', 'bps': '743', 'industry_per': '9.58', 'code': '009320', 'per': '69.54', 'foreign_ratio': '0.38', 'face_val': '500', 'foreign_limit': '47646375', 'foreign_possession': '183187', 'yield_ret': 0}
{'market_cap': 3533178000000, 'name': 'TIGER 200', 'date': '20180130', 'industry': 'ETF', 'price': '34170', 'pbr': 0, 'eps': 0, 'market_type': 'KOSPI', 'bps': 0, 'industry_per': 0, 'code': '102110', 'per': 0, 'foreign_ratio': 0, 'face_val': 0, 'foreign_limit': 0, 'foreign_possession': 0, 'yield_ret': 0}
{'market_cap': 165303882870, 'name': 'KEC', 'date': '20180130', 'industry': '전기전자', 'price': '1470', 'pbr': 0.66, 'eps': '4', 'market_type': 'KOSPI', 'bps': '2215', 'industry_per': '15.48', 'code': '092220', 'per': '367.50', 'foreign_ratio': '4.69', 'face_val': '500', 'foreign_limit': '112451621', 'foreign_possession': '5276759', 'yield_ret': 0}
{'market_cap': 179840000000, 'name': '현대약품', 'date': '20180130', 'industry': '의약품', 'price': '5620', 'pbr': 1.4, 'eps': '44', 'market_type': 'KOSPI', 'bps': '4021', 'industry_per': '76.99', 'code': '004310', 'per': '127.73', 'foreign_ratio': '0.94', 'face_val': '500', 'foreign_limit': '32000000', 'foreign_possession': '301911', 'yield_ret': '0.82'}
{'market_cap': 203746604020, 'name': '동성제약', 'date': '20180130', 'industry': '의약품', 'price': '8230', 'pbr': 2.95, 'eps': '-74', 'market_type': 'KOSPI', 'bps': '2790', 'industry_per': '76.99', 'code': '002210', 'per': '-111.22', 'foreign_ratio': '2.86', 'face_val': '1000', 'foreign_limit': '24756574', 'foreign_possession': '706977', 'yield_ret': 0}
{'market_cap': 417316303875, 'name': 'IHQ', 'date': '20180130', 'industry': '서비스업', 'price': '2875', 'pbr': 1.84, 'eps': '30', 'market_type': 'KOSPI', 'bps': '1561', 'industry_per': '64.31', 'code': '003560', 'per': '95.83', 'foreign_ratio': '4.44', 'face_val': '500', 'foreign_limit': '145153497', 'foreign_possession': '6450403', 'yield_ret': 0}
{'market_cap': 4855111354000, 'name': '현대건설', 'date': '20180130', 'industry': '건설업', 'price': '43600', 'pbr': 0.77, 'eps': '5133', 'market_type': 'KOSPI', 'bps': '56786', 'industry_per': '24.69', 'code': '000720', 'per': '8.49', 'foreign_{'market_cap': 1453500000000, 'name': '현대로템', 'date': '20180130', 'industry': '운수장비', 'price': '17100', 'pbr': 1.04, 'eps': '257', 'market_type': 'KOSPI', 'bps': '16376', 'industry_per': '-87.20', 'code': '064350', 'per': '66.54', 'foreign_ratio': '26.25', 'face_val': '5000', 'foreign_limit': '85000000', 'foreign_possession': '22316087', 'yield_ret': 0}
{'market_cap': 361496505300, 'name': '한솔테크닉스', 'date': '20180130', 'industry': '전기전자', 'price': '16350', 'pbr':{'market_cap': 943219153260, 'name': '금호타이어', 'date': '20180130', 'industry': '화학', 'price': '5970', 'pbr': 0.86, 'eps': '-228', 'market_type': 'KOSPI', 'bps': '6976', 'industry_per': '9.58', 'code': '073240', 'per': '-26.18', 'foreign_ratio': '5.99', 'face_val': '5000', 'foreign_limit': '157993158', 'foreign_possession': '9460802', 'yield_ret': 0}
{'market_cap': 200900000000, 'name': '황금에스티', 'date': '20180130', 'industry': '철강금속', 'price': '14350', 'pbr': 1.01, 'eps': '1480', 'market_type': 'KOSPI', 'bps': '14151', 'industry_per': '17.09', 'code': '032560', 'per': '9.70', 'foreign_ratio': '8.70', 'face_val': '500', 'foreign_limit': '14000000', 'foreign_possession': '1217416', 'yield_ret': '0.52'}
{'market_cap': 1037802667200, 'name': '유안타증권', 'date': '20180130', 'industry': '증권', 'price': '5200', 'pbr': 1.03, 'eps': '147', 'market_type': 'KOSPI', 'bps': '5026', 'industry_per': '23.06', 'code': '003470', 'per': '35.37', 'foreign_ratio': '58.95', 'face_val': '5000', 'foreign_limit': '199577436', 'foreign_possession': '117650464', 'yield_ret': 0}
{'market_cap': 11825808885000, 'name': 'LG디스플레이', 'date': '20180130', 'industry': '전기전자', 'price': '33050', 'pbr': 0.91, 'eps': '2534', 'market_type': 'KOSPI', 'bps': '36209', 'industry_per': '14.10', 'code': '034220', 'per': '13.04', 'foreign_ratio': '27.11', 'face_val': '5000', 'foreign_limit': '357815700', 'foreign_possession': '97011729', 'yield_ret': '1.51'}
